Geneid	SRR9257063
AT1G79400	9
AT1G02880	325
AT1G38790	0
AT1G63190	1
AT1G78850	2254
AT1G70895	104
AT1G12230	1525
AT1G35830	102
AT1G75430	3
AT1G53450	251
AT1G25330	0
AT1G21950	23
AT1G23650	0
AT1G72270	33
AT1G30170	34
AT1G15757	0
AT1G28150	1043
AT1G69500	0
AT1G23580	2
AT1G03440	412
AT1G76270	427
AT1G65560	378
AT1G13730	539
AT1G18060	1945
AT1G21640	1974
AT1G08960	272
AT1G79860	22
AT1G68360	23
AT1G10550	29
AT1G34570	483
AT1G65710	148
AT1G56530	0
AT1G53320	1698
AT1G17220	7321
AT1G77525	0
AT1G19960	126
AT1G52880	169
AT1G05420	50
AT1G76040	552
AT1G79840	238
AT1G47830	364
AT1G03010	27
AT1G78100	556
AT1G01695	7
AT1G15380	278
AT1G72320	1140
AT1G61690	969
AT1G01610	1496
AT1G74030	921
AT1G66950	25
AT1G18770	0
AT1G74220	0
AT1G56630	7
AT1G02520	174
AT1G50620	633
AT1G08130	928
AT1G33790	269
AT1G62380	15669
AT1G73165	1
AT1G66000	0
AT1G77932	2
AT1G15480	1050
AT1G77960	2
AT1G02590	0
AT1G66640	1
AT1G23880	146
AT1G34460	138
AT1G12780	1682
AT1G30300	234
AT1G54060	693
AT1G33020	0
AT1G71130	231
AT1G75170	262
AT1G79920	5131
AT1G03190	336
AT1G16025	0
AT1G22620	628
AT1G51260	0
AT1G65640	0
AT1G26410	2
AT1G74820	0
AT1G34650	3
AT1G23190	2281
AT1G55250	709
AT1G74210	748
AT1G76940	339
AT1G80890	377
AT1G74730	1115
AT1G76090	730
AT1G63990	6
AT1G61360	266
AT1G75140	418
AT1G21270	1285
AT1G49300	1280
AT1G80610	268
AT1G05570	1532
AT1G27540	356
AT1G53945	0
AT1G61565	0
AT1G30780	0
AT1G73350	393
AT1G52440	1
AT1G31280	454
AT1G01225	43
AT1G27110	50
AT1G03180	250
AT1G30050	3
AT1G19540	73
AT1G09540	30
AT1G28220	1
AT1G75717	0
AT1G52680	0
AT1G18940	20
AT1G62580	43
AT1G11020	208
AT1G75680	2247
AT1G16630	385
AT1G61415	8
AT1G65840	8172
